A,Team,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11
Jordan Poole,WAS,78,2346,0.413,1356,212,343,86,25,2,188,244
Michael Porter Jr.,DEN,81,2565,0.484,1356,565,122,42,53,14,92,148
Jalen Williams,OKC,71,2223,0.54,1355,282,322,80,45,15,123,175
Joel Embiid,PHI,39,1309,0.529,1353,430,219,46,66,9,150,112
Karl-Anthony Towns,MIN,62,2026,0.504,1349,515,189,43,41,13,177,204
Bogdan Bogdanović,ATL,79,2401,0.428,1333,272,247,96,26,6,112,179
Brandon Ingram,NOP,64,2103,0.492,1332,324,363,50,40,9,163,145
Alperen Şengün,HOU,63,2046,0.537,1331,589,312,76,46,5,162,211
Devin Vassell,SAS,68,2248,0.472,1323,261,277,73,23,2,108,74
CJ McCollum,NOP,66,2159,0.459,1322,286,305,62,41,9,110,126
Myles Turner,IND,77,2076,0.524,1313,533,100,39,144,10,109,232
Austin Reaves,LAL,82,2629,0.486,1300,352,450,66,25,8,174,153
Brandon Miller,CHO,74,2383,0.44,1279,315,175,66,42,0,132,184
Lauri Markkanen,UTA,55,1820,0.48,1278,449,110,50,26,4,77,100
Jarrett Allen,CLE,77,2442,0.634,1271,811,210,53,81,12,121,147
Fred VanVleet,HOU,73,2684,0.416,1270,278,589,101,59,5,126,183
Donte DiVincenzo,NYK,81,2360,0.443,1259,297,216,107,36,14,113,166
Jamal Murray,DEN,59,1861,0.481,1250,242,384,57,39,14,125,104
Jimmy Butler,MIA,60,2042,0.499,1246,318,298,79,17,8,102,68
Terry Rozier,2TM,61,2040,0.443,1205,247,342,63,21,0,106,101
Terry Rozier,CHO,30,1065,0.459,696,117,198,32,12,0,65,52
Terry Rozier,MIA,31,975,0.423,509,130,144,31,9,8,41,49
Tobias Harris,PHI,70,2368,0.487,1204,453,217,70,46,9,93,115
James Harden,LAC,72,2470,0.428,1192,369,614,77,57,12,185,127
Scottie Barnes,TOR,60,2094,0.475,1191,494,363,75,88,4,165,118
Jonathan Kuminga,GSW,74,1949,0.529,1188,355,163,55,36,6,122,169
Jaden Ivey,DET,77,2217,0.429,1185,264,296,57,41,1,190,204
Keegan Murray,SAC,77,2588,0.454,1172,420,129,79,59,7,64,205
RJ Barrett,2TM,58,1838,0.495,1170,315,193,31,22,0,126,129
RJ Barrett,NYK,26,766,0.423,474,111,63,12,9,14,47,45
RJ Barrett,TOR,32,1072,0.553,696,204,130,19,13,4,79,84
Immanuel Quickley,2TM,68,1985,0.434,1156,259,331,50,10,0,101,119
Immanuel Quickley,NYK,30,720,0.454,450,77,74,16,3,14,31,44
Immanuel Quickley,TOR,38,1265,0.422,706,182,257,34,7,4,70,75
Kristaps Porziņģis,BOS,57,1690,0.516,1145,409,115,42,111,15,89,156
Tim Hardaway Jr.,DAL,79,2120,0.402,1139,254,139,42,6,11,69,106
Jerami Grant,POR,54,1830,0.451,1132,191,152,45,34,1,116,117
Bobby Portis,MIL,82,2008,0.508,1130,607,104,68,34,13,91,189
Dennis Schröder,2TM,80,2486,0.435,1122,242,488,63,17,0,153,164
Dennis Schröder,TOR,51,1559,0.442,698,140,313,46,8,4,83,105
Dennis Schröder,BRK,29,927,0.424,424,102,175,17,9,0,70,59
Malik Monk,SAC,72,1872,0.443,1110,212,370,45,39,7,150,156
Derrick White,BOS,73,2381,0.461,1107,310,377,74,87,15,112,152
Deni Avdija,WAS,75,2257,0.506,1102,540,286,60,36,2,160,185
Julius Randle,NYK,46,1630,0.472,1102,423,229,25,12,14,159,125
Naz Reid,MIN,81,1964,0.477,1090,423,106,63,73,13,111,172
Keldon Johnson,SAS,69,2038,0.454,1084,377,195,51,20,2,100,149
Corey Kispert,WAS,80,2067,0.486,1070,225,156,41,16,2,98,141
Rudy Gobert,MIN,76,2593,0.661,1061,982,102,52,162,13,118,238
Norman Powell,LAC,76,1990,0.486,1056,195,82,43,22,12,66,137
Kelly Oubre Jr.,PHI,68,2055,0.441,1049,341,101,77,47,9,87,194
Jabari Smith Jr.,HOU,76,2424,0.454,1044,616,121,52,61,5,89,200
Anfernee Simons,POR,46,1582,0.43,1039,167,255,23,5,1,126,98
Darius Garland,CLE,57,1901,0.446,1028,152,373,74,7,12,176,95
John Collins,UTA,68,1901,0.532,1027,575,77,40,61,4,98,191
Grayson Allen,PHO,75,2513,0.499,1014,295,227,69,45,0,95,157
Aaron Gordon,DEN,73,2297,0.556,1013,471,259,56,45,14,105,142
Buddy Hield,2TM,84,2160,0.436,1013,269,236,70,42,0,103,169
Buddy Hield,IND,52,1336,0.443,623,167,139,43,31,10,62,103
Buddy Hield,PHI,32,824,0.426,390,102,97,27,11,9,41,66
Jonas Valančiūnas,NOP,82,1925,0.559,1002,721,173,32,68,9,111,218
Harrison Barnes,SAC,82,2381,0.474,1000,249,99,54,12,7,58,98
Desmond Bane,MEM,42,1443,0.464,997,185,230,43,22,3,112,120
Brook Lopez,MIL,79,2411,0.485,990,409,127,43,189,13,79,191
Josh Giddey,OKC,80,2011,0.475,986,514,386,51,44,15,168,111
